text,alias,ipa,category,telnyx_naturalhd_verdict
amoxicillin,ah-MOX-i-sil-in,əˌmɑːksɪˈsɪlɪn,drug,WASH
amoxicillin clavulanate,ah-MOX-i-sil-in klav-yoo-LAN-ate,əˌmɑːksɪˈsɪlɪn klævjuːˈlæneɪt,drug,HURTS
azithromycin,ah-ZITH-roh-my-sin,æˌzɪθroʊˈmaɪsɪn,drug,WASH
cephalexin,sef-ah-LEX-in,ˌsɛfəˈlɛksɪn,drug,WASH
ciprofloxacin,sip-roh-FLOX-ah-sin,ˌsaɪproʊˈflɑːksəsɪn,drug,HELPS
clindamycin,klin-dah-MY-sin,ˌklɪndəˈmaɪsɪn,drug,HELPS
doxycycline,dok-see-SY-kleen,ˌdɑːksiˈsaɪkliːn,drug,HURTS
metronidazole,me-tro-NI-da-zole,ˌmɛtrəˈnaɪdəzoʊl,drug,WASH
sulfamethoxazole trimethoprim,sul-fa-meth-OX-a-zole try-METH-oh-prim,ˌsʌlfəməˈθɑksəzoʊl traɪˈmɛθəprɪm,drug,WASH
nitrofurantoin,ny-tro-fyoor-an-TOYN,ˌnaɪtroʊfjʊˈræntoʊɪn,drug,WASH
penicillin,pen-i-SIL-in,ˌpɛnɪˈsɪlɪn,drug,HURTS
vancomycin,van-ko-MY-sin,væŋkoʊˈmaɪsɪn,drug,WASH
levofloxacin,lee-vo-FLOX-a-sin,ˌlɛvoʊˈflɑksəsɪn,drug,WASH
moxifloxacin,mox-i-FLOX-a-sin,ˌmɑksɪˈflɑksəsɪn,drug,WASH
cefdinir,SEF-di-ner,ˈsɛfdɪnɪr,drug,WASH
cefaclor,SEF-a-klor,ˈsɛfəklɔr,drug,WASH
cefuroxime,se-fyoor-OX-eem,ˌsɛfjʊˈrɑksiːm,drug,HELPS
ceftriaxone,sef-try-AX-one,ˌsɛftraɪˈæksoʊn,drug,HELPS
cefepime,SEF-e-peem,ˈsɛfəpiːm,drug,HELPS
meropenem,mer-oh-PEN-em,məˈrɑpənɛm,drug,HURTS
ertapenem,er-ta-PEN-em,ˌɛrtəˈpiːnɛm,drug,HELPS
imipenem,i-mi-PEN-em,ˌɪmɪˈpiːnɛm,drug,HURTS
piperacillin tazobactam,pi-PER-a-sil-in ta-zo-BAK-tam,ˌpɪpəˈræsɪlɪn ˌtæzoʊˈbæktəm,drug,WASH
gentamicin,jen-ta-MY-sin,ˌdʒɛntəˈmaɪsɪn,drug,HELPS
tobramycin,toe-bra-MY-sin,ˌtoʊbrəˈmaɪsɪn,drug,WASH
amikacin,am-i-KAY-sin,ˌæmɪˈkeɪsɪn,drug,WASH
linezolid,li-NEZ-o-lid,lɪˈnɛzəlɪd,drug,HELPS
daptomycin,dap-toe-MY-sin,ˌdæptoʊˈmaɪsɪn,drug,WASH
tigecycline,tye-ge-SY-kleen,ˌtɪɡəˈsaɪkliːn,drug,HURTS
minocycline,mi-no-SY-kleen,ˌmɪnoʊˈsaɪkliːn,drug,HURTS
rifampin,ri-FAM-pin,rɪˈfæmpɪn,drug,WASH
isoniazid,eye-so-NY-a-zid,ˌaɪsoʊˈnaɪəzɪd,drug,WASH
pyrazinamide,py-ra-ZIN-a-mide,ˌpɪrəˈzɪnəmaɪd,drug,WASH
ethambutol,e-THAM-byoo-tol,ɛˈθæmbjətɔl,drug,HELPS
fluconazole,floo-KON-a-zole,fluˈkɑnəzoʊl,drug,HURTS
ketoconazole,kee-toe-KON-a-zole,ˌkiːtoʊˈkɑnəzoʊl,drug,WASH
itraconazole,i-tra-KON-a-zole,ˌɪtrəˈkɑnəzoʊl,drug,WASH
voriconazole,vor-ih-KON-uh-zole,ˌvɔrɪˈkɑnəzoʊl,drug,HURTS
posaconazole,poh-sah-KON-uh-zole,poʊsəˈkɑnəzoʊl,drug,WASH
acyclovir,ay-SY-kloh-veer,eɪˈsaɪkləvɪr,drug,HURTS
valacyclovir,val-ay-SY-kloh-veer,vəˈlæsɪkləvɪr,drug,HURTS
famciclovir,fam-SY-kloh-veer,fæmˈsaɪkləvɪr,drug,WASH
oseltamivir,oh-sel-TAM-ih-veer,ˌoʊsɛlˈtæmɪvɪr,drug,HELPS
aciklovir,ah-SEE-kloh-veer,eɪˈsaɪkləvɪr,drug,HURTS
ibuprofen,eye-byoo-PROH-fen,ˌaɪbjuˈproʊfən,drug,WASH
naproxen,nah-PROK-sen,nəˈprɑksən,drug,HELPS
celecoxib,sel-eh-KOK-sib,səˈlɛksɪb,drug,WASH
meloxicam,mel-OK-sih-kam,məˈlɑksɪkæm,drug,HURTS
diclofenac,dye-KLOH-fen-ak,daɪˈkloʊfənæk,drug,HELPS
ketorolac,kee-TOR-oh-lak,kiˈtɔrəlæk,drug,HURTS
indomethacin,in-doh-METH-ah-sin,ˌɪndoʊˈmɛθəsɪn,drug,HURTS
nabumetone,na-BYOO-meh-tone,nəˈbjumətoʊn,drug,WASH
etodolac,ee-TOH-doh-lak,iˈtoʊdəlæk,drug,WASH
oxaprozin,ok-sah-PROH-zin,ˌɑksəˈproʊzɪn,drug,WASH
acetaminophen,ah-SEE-tah-MIN-oh-fen,əˌsiːtəˈmɪnəfən,drug,HELPS
tramadol,TRAM-ah-dol,ˈtræmədɔl,drug,HURTS
gabapentin,gab-ah-PEN-tin,ˌɡæbəˈpɛntɪn,drug,WASH
pregabalin,pree-GAB-ah-lin,priˈɡæbəlɪn,drug,HELPS
duloxetine,doo-LOK-seh-teen,duˈlɑksətiːn,drug,WASH
amitriptyline,am-ee-TRIP-tih-leen,ˌæmɪˈtrɪptəliːn,drug,HURTS
nortriptyline,nor-TRIP-tih-leen,nɔrˈtrɪptəliːn,drug,HURTS
topiramate,toh-PIHR-ah-mayt,toʊˈpɪrəmeɪt,drug,HELPS
carbamazepine,kar-bah-MAZ-eh-peen,ˌkɑrbəˈmæzəpiːn,drug,WASH
oxcarbazepine,oks-kar-BAZ-eh-peen,ˌɑkskɑrˈbæzəpiːn,drug,HELPS
lamotrigine,lah-MOH-trih-jeen,ləˈmɑtrɪdʒiːn,drug,WASH
levetiracetam,lev-eh-TIHR-ah-seh-tam,ləˌvɛtɪˈræsɪtæm,drug,HURTS
phenytoin,FEN-ih-toh-in,fəˈnɪtoʊɪn,drug,WASH
valproic acid,val-PROH-ik AS-id,vælˈproʊɪk ˈæsɪd,drug,HURTS
zonisamide,zoh-NIS-ah-mide,zoʊˈnɪsəmaɪd,drug,HELPS
lacosamide,lah-KOH-sah-mide,ləˈkoʊsəmaɪd,drug,HELPS
rufinamide,roo-FIN-ah-mide,ruˈfɪnəmaɪd,drug,HELPS
omeprazole,oh-MEP-rah-zole,oʊˈmɛprəzoʊl,drug,HURTS
pantoprazole,pan-TOH-prah-zole,pænˈtoʊprəzoʊl,drug,HELPS
esomeprazole,es-oh-MEP-rah-zole,ɛˈsoʊmɛprəzoʊl,drug,HURTS
lansoprazole,lan-SOH-prah-zole,lænˈsoʊprəzoʊl,drug,HELPS
rabeprazole,rah-BEP-rah-zole,rəˈbɛprəzoʊl,drug,HURTS
dexlansoprazole,deks-lan-SOH-prah-zole,dɛksˌlænˈsoʊprəzoʊl,drug,HELPS
famotidine,fam-OH-tih-deen,fəˈmoʊtɪdiːn,drug,WASH
ranitidine,ran-IH-tih-deen,rəˈnɪtɪdiːn,drug,HELPS
cimetidine,sy-MET-ih-deen,saɪˈmɛtɪdiːn,drug,HELPS
nizatidine,ny-ZAT-ih-deen,naɪˈzætɪdiːn,drug,WASH
aluminum hydroxide,ah-LOO-min-um hy-DROK-side,əˈluːmɪnəm haɪˈdrɒksaɪd,drug,HURTS
simethicone,sy-METH-ih-kone,saɪˈmɛθɪkoʊn,drug,WASH
ondansetron,on-DAN-seh-tron,ɒnˈdænsətrɒn,drug,HELPS
granisetron,gran-IS-eh-tron,ɡrəˈnɪsətrɒn,drug,WASH
palonosetron,pal-oh-NOH-seh-tron,pəˌloʊnəˈsɛtrɒn,drug,HURTS
metoclopramide,met-oh-KLOH-prah-mide,məˌtoʊkloʊˈpræmaɪd,drug,HELPS
promethazine,proh-METH-ah-zeen,proʊˈmɛθəziːn,drug,HURTS
prochlorperazine,proh-klor-PER-ah-zeen,proʊˌklɔːrˈpɛrəziːn,drug,WASH
loperamide,loh-PER-ah-mide,loʊˈpɛrəmaɪd,drug,WASH
docusate,DOK-yoo-sate,ˈdɒkjuseɪt,drug,WASH
polyethylene glycol,pol-ee-ETH-ih-leen GLY-kol,ˌpɒliˈɛθɪliːn ˈɡlaɪkɒl,drug,HURTS
bisacodyl,bis-AK-oh-dil,baɪˈsækədɪl,drug,HURTS
senna,SEN-ah,ˈsɛnə,drug,HURTS
lactulose,LAK-tyoo-lose,ˈlæktjuːloʊs,drug,WASH
albuterol,al-BOO-ter-ol,ælˈbjuːtərɒl,drug,HURTS
levalbuterol,lev-al-BOO-ter-ol,ˌlɛvælˈbjuːtərɒl,drug,HURTS
ipratropium,ip-ra-TROH-pee-um,ˌɪprəˈtroʊpiəm,drug,HELPS
tiotropium,ty-oh-TROH-pee-um,ˌtaɪəˈtroʊpiəm,drug,HURTS
umeclidinium,yoo-meh-kli-DIN-ee-um,ˌjuːˌmɛklɪˈdɪniəm,drug,HURTS
glycopyrrolate,gly-koh-PIR-oh-late,ˌɡlaɪkoʊˈpɪroʊleɪt,drug,WASH
formoterol,for-MOH-ter-ol,fɔrˈmɑːtərɔːl,drug,WASH
salmeterol,sal-MEH-ter-ol,sælˈmiːtərɔːl,drug,WASH
indacaterol,in-da-KA-ter-ol,ˌɪndəˈkætərɔːl,drug,WASH
olodaterol,oh-loh-DA-ter-ol,ˌoʊloʊˈdætərɔːl,drug,HELPS
fluticasone,floo-TIK-a-sone,fluːˈtɪkəsoʊn,drug,WASH
budesonide,byoo-DEH-soh-nide,bjuːˈdɛsənaɪd,drug,HELPS
mometasone,moh-MEH-ta-sone,moʊˈmɛtəsoʊn,drug,WASH
ciclesonide,sik-LEH-soh-nide,sɪˈklɛsənaɪd,drug,WASH
beclomethasone,beh-kloh-MEH-tha-sone,ˌbɛkloʊˈmɛθəsoʊn,drug,WASH
montelukast,mon-teh-LOO-kast,ˌmɑːntəˈluːkæst,drug,WASH
zafirlukast,za-FIR-loo-kast,zəˈfɪrluːkæst,drug,HELPS
zileuton,zy-LOO-ton,zaɪˈluːtɑːn,drug,HELPS
theophylline,thee-OFF-i-lin,ˌθiːəˈfɪliːn,drug,WASH
roflumilast,roh-FLOO-mi-last,roʊˈfluːmɪlæst,drug,HURTS
benralizumab,ben-ra-LIZ-oo-mab,bɛnˈrælɪzʊmæb,drug,HURTS
mepolizumab,meh-poh-LIZ-oo-mab,məˈpɑːlɪzʊmæb,drug,HURTS
reslizumab,rez-LIZ-oo-mab,rɛzˈlɪzʊmæb,drug,HURTS
dupilumab,doo-PIL-oo-mab,duːˈpɪljuːmæb,drug,WASH
omalizumab,oh-ma-LIZ-oo-mab,oʊˈmælɪzʊmæb,drug,WASH
sertraline,SER-tra-leen,ˈsɜːrtrəliːn,drug,WASH
fluoxetine,floo-OK-seh-teen,fluːˈɑːksətiːn,drug,WASH
escitalopram,es-sit-AL-oh-pram,ˌɛsɪˈtæləpræm,drug,HURTS
citalopram,sit-AL-oh-pram,sɪˈtæləpræm,drug,HURTS
paroxetine,pa-ROK-seh-teen,pəˈrɑːksətiːn,drug,HURTS
venlafaxine,ven-la-FAK-seen,vɛnˈlæfəksiːn,drug,HURTS
desvenlafaxine,des-ven-la-FAK-seen,dɛzˈvɛnələˌfæksiːn,drug,HELPS
milnacipran,mil-NA-si-pran,mɪlˈnæsɪpræn,drug,HURTS
bupropion,byoo-PRO-pee-on,bjuˈproʊpiɑn,drug,WASH
mirtazapine,mir-TAZ-a-peen,mɪrˈtæzəpin,drug,HELPS
trazodone,TRAZ-oh-done,ˈtræzədoʊn,drug,WASH
nefazodone,ne-FAZ-oh-done,nəˈfæzədoʊn,drug,HELPS
vortioxetine,vor-tee-OK-seh-teen,vɔrtiˈɑksətin,drug,WASH
vilazodone,vil-AZ-oh-done,vɪˈlæzədoʊn,drug,HELPS
fluvoxamine,floo-VOK-sah-meen,fluˈvɑksəmin,drug,HURTS
clomipramine,klo-MIP-rah-meen,kloʊˈmɪprəmin,drug,WASH
desipramine,des-IP-rah-meen,dəˈsɪprəmin,drug,HURTS
imipramine,im-IP-rah-meen,ɪˈmɪprəmin,drug,HURTS
protriptyline,pro-TRIP-tih-leen,proʊˈtrɪptəlin,drug,WASH
phenelzine,FEN-el-zeen,ˈfɛnəlzin,drug,WASH
tranylcypromine,tran-il-SIP-roh-meen,trænɪlˈsɪprəmin,drug,WASH
isocarboxazid,eye-so-kar-BOK-sah-zid,ˌaɪsoʊkɑrˈbɑksəzɪd,drug,WASH
selegiline,se-LEJ-ih-leen,səˈlɛdʒəlin,drug,HURTS
rasagiline,ra-SAJ-ih-leen,rəˈsædʒəlin,drug,HURTS
aripiprazole,a-RIP-ip-ra-zole,əˈrɪpɪprəzoʊl,drug,WASH
olanzapine,oh-LAN-zah-peen,oʊˈlænzəpin,drug,WASH
quetiapine,kwe-TIE-ah-peen,kwɛˈtaɪəpin,drug,HURTS
risperidone,ris-PER-ih-done,rɪˈspɛrɪdoʊn,drug,HELPS
paliperidone,pal-ee-PER-ih-done,pəˈlɪpərɪdoʊn,drug,HURTS
ziprasidone,zip-RAS-ih-done,zɪˈpræsɪdoʊn,drug,HURTS
lurasidone,loo-RAS-ih-done,lʊˈræsɪdoʊn,drug,HELPS
brexpiprazole,brek-SIP-ra-zole,brɛksˈpɪprəzoʊl,drug,HELPS
cariprazine,ka-RIP-ra-zeen,kəˈrɪprəzin,drug,HURTS
clozapine,KLOZ-ah-peen,ˈkloʊzəpin,drug,WASH
haloperidol,hal-oh-PER-ih-dol,ˌhæloʊˈpɛrɪdɔl,drug,HURTS
chlorpromazine,klor-PROH-mah-zeen,klɔrˈproʊməzin,drug,WASH
lithium,LITH-ee-um,ˈlɪθiəm,drug,HURTS
valproate,val-PRO-ate,vælˈproʊ.eɪt,drug,HELPS
asenapine,a-SEN-a-peen,əˈsɛn.ə.piːn,drug,HELPS
dexmethylphenidate,dex-METH-il-FEN-i-date,dɛksˌmɛθ.əlˈfɛn.ə.deɪt,drug,WASH
lisdexamfetamine,lis-dex-am-FET-a-meen,lɪsˌdɛks.æmˈfɛt.ə.miːn,drug,WASH
methylphenidate,METH-il-FEN-i-date,ˌmɛθ.əlˈfɛn.ə.deɪt,drug,HURTS
amfetamine,am-FET-a-meen,æmˈfɛt.ə.miːn,drug,HURTS
guanfacine,GWAHN-fa-seen,ˈɡwɑːn.fə.siːn,drug,HURTS
tamoxifen,ta-MOX-i-fen,təˈmɑːk.sə.fən,drug,WASH
anastrozole,an-AS-troh-zole,əˈnæs.trə.zɔːl,drug,WASH
letrozole,LET-roh-zole,ˈlɛ.trə.zɔːl,drug,WASH
exemestane,ex-e-MES-tane,ˌɛk.səˈmɛs.teɪn,drug,HURTS
leuprolide,loo-PRO-lide,luːˈproʊ.laɪd,drug,WASH
goserelin,goh-SER-a-lin,ɡoʊˈsɛr.ə.lɪn,drug,HURTS
triptorelin,trip-toh-REL-in,trɪpˈtɔːr.ə.lɪn,drug,WASH
bicalutamide,bye-ka-LOO-ta-mide,baɪ.kəˈluː.tə.maɪd,drug,WASH
enzalutamide,en-za-LOO-ta-mide,ɛn.zəˈluː.tə.maɪd,drug,WASH
abiraterone,a-bir-A-ter-one,əˈbɪr.ə.tə.roʊn,drug,HURTS
imatinib,i-MAT-in-ib,ɪˈmæ.tɪ.nɪb,drug,WASH
dasatinib,da-SAT-in-ib,dəˈsæ.tɪ.nɪb,drug,HELPS
nilotinib,ny-LOH-tin-ib,naɪˈloʊ.tɪ.nɪb,drug,HELPS
bosutinib,boh-SOO-tin-ib,boʊˈsuː.tɪ.nɪb,drug,WASH
ponatinib,poh-NA-tin-ib,poʊˈnæ.tɪ.nɪb,drug,HURTS
ibrutinib,eye-BROO-tin-ib,aɪˈbruː.tɪ.nɪb,drug,HELPS
acalabrutinib,a-KAL-a-BROO-tin-ib,əˌkæl.əˈbruː.tɪ.nɪb,drug,WASH
venetoclax,ve-NET-oh-klax,vəˈnɛ.toʊ.klæks,drug,HURTS
rituximab,ri-TUX-i-mab,rɪˈtʊk.sɪ.mæb,drug,WASH
trastuzumab,tras-TUZ-oo-mab,træsˈtʊ.zuː.mæb,drug,WASH
pertuzumab,per-TUZ-oo-mab,pərˈtʊ.zuː.mæb,drug,WASH
bevacizumab,beh-va-KIZ-oo-mab,bəˌvæk.sɪˈzuː.mæb,drug,WASH
cetuximab,se-TUX-i-mab,səˈtʊk.sɪ.mæb,drug,HELPS
panitumumab,pan-i-TOO-moo-mab,ˌpænɪˈtjuːməmæb,drug,WASH
pembrolizumab,pem-broh-LIZ-oo-mab,ˌpɛmbroʊˈlɪzjuːmæb,drug,HELPS
nivolumab,niv-OL-oo-mab,nɪˈvɒljʊmæb,drug,WASH
ipilimumab,i-pi-LIM-oo-mab,ɪˌpɪlɪˈmuːmæb,drug,WASH
atezolizumab,a-TEZ-oh-LIZ-oo-mab,əˌtɛzoʊˈlɪzjuːmæb,drug,HELPS
durvalumab,dur-VAL-oo-mab,dɜːrˈvæljʊmæb,drug,WASH
avelumab,a-VEL-oo-mab,əˈvɛljʊmæb,drug,HELPS
cisplatin,sis-PLAT-in,sɪsˈpleɪtɪn,drug,HELPS
carboplatin,kar-boh-PLAT-in,kɑːrˈboʊplætɪn,drug,HURTS
oxaliplatin,ok-SAL-i-plat-in,ɒkˈsælɪplætɪn,drug,WASH
paclitaxel,pak-li-TAKS-el,ˌpæklɪˈtæksɛl,drug,HELPS
docetaxel,doh-se-TAKS-el,ˌdoʊsɪˈtæksɛl,drug,WASH
doxorubicin,dok-soh-ROO-bi-sin,ˌdɒksəˈruːbɪsɪn,drug,WASH
daunorubicin,daw-noh-ROO-bi-sin,ˌdɔːnəˈruːbɪsɪn,drug,HELPS
vincristine,vin-KRIS-teen,vɪnˈkrɪstiːn,drug,WASH
vinblastine,vin-BLAS-teen,vɪnˈblæstiːn,drug,WASH
vinorelbine,vi-NOR-el-been,vɪˈnɔːrɛlbiːn,drug,WASH
etoposide,e-TOH-poh-side,ɪˈtoʊpəsaɪd,drug,HURTS
cyclophosphamide,sy-kloh-FOS-fa-mide,ˌsaɪkloʊˈfɒsfəmaɪd,drug,HURTS
ifosfamide,i-FOS-fa-mide,ɪˈfɒsfəmaɪd,drug,WASH
methotrexate,meth-oh-TREK-sate,ˌmɛθəˈtrɛkseɪt,drug,WASH
pemetrexed,pem-e-TREK-sed,ˌpɛmɪˈtrɛksɛd,drug,HURTS
gemcitabine,jem-SITE-a-been,dʒɛmˈsaɪtəbiːn,drug,HELPS
fluorouracil,floor-oh-YOO-ra-sil,ˌflʊroʊˈjʊɚəsɪl,drug,HURTS
capecitabine,ka-pe-SITE-a-been,ˌkæpɪˈsaɪtəbiːn,drug,HURTS
cytarabine,sy-TAIR-a-been,saɪˈtɛɚəbiːn,drug,HELPS
adalimumab,a-da-LIM-oo-mab,əˌdælɪˈmuːmæb,drug,HELPS
etanercept,e-TAN-er-sept,ɪˈtænɚsɛpt,drug,HURTS
infliximab,in-FLIK-si-mab,ɪnˈflɪksɪmæb,drug,WASH
certolizumab,ser-toh-LIZ-oo-mab,ˌsɜːrtoʊˈlɪzjuːmæb,drug,HELPS
golimumab,go-LIM-ue-mab,ɡoʊˈlɪmjʊˌmæb,drug,HELPS
tocilizumab,TOE-sih-LIZ-ue-mab,ˌtoʊsɪˈlɪzjʊˌmæb,drug,HELPS
sarilumab,sar-IL-ue-mab,ˌsærɪˈluːmæb,drug,HELPS
ustekinumab,US-te-KIN-ue-mab,ˌʌstəˈkɪnjʊˌmæb,drug,HURTS
secukinumab,SEK-ue-KIN-ue-mab,ˌsɛkjʊˈkɪnjʊˌmæb,drug,WASH
ixekizumab,IX-e-KIZ-ue-mab,ˌɪksɛˈkɪzjʊˌmæb,drug,HELPS
brodalumab,broe-DAL-ue-mab,broʊˈdæljʊˌmæb,drug,HELPS
guselkumab,gus-ELK-ue-mab,ˌɡʌsɛlˈkuːmæb,drug,HELPS
